Time,Torque,AngAccel,AngVel,Angle,Force.x,Force.y,Accel.x,Accel.y,Vel.x,Vel.y,Pos.x,Pos.y,
2.033,0,0,0,0,5e+06,0,5,0,10.08,0,577.324,0,
3.046,0,0,0,0,5e+06,0,5,0,15.14,0,1318.58,0,
4.04999,0,0,0,0,5e+06,0,5,0,20.165,0,2340.09,0,
5.063,6.291e+08,0.0235618,0.00122521,3.18556e-05,2.5e+06,79.6389,2.5,7.96389e-05,25.0999,2.13897e-06,3676.53,9.75141e-07,
6.06301,6.291e+08,0.0235618,0.0247635,0.0130132,2.49979e+06,32532.1,2.49979,0.0325321,27.5974,0.0116783,5203.78,0.175491,
7.07702,6.291e+08,0.0235618,0.0486316,0.0501878,2.49685e+06,125417,2.49685,0.125417,30.1286,0.0875592,6794.12,2.54074,
8.09203,6.291e+08,0.0235618,0.0725939,0.111831,2.48438e+06,278995,2.48438,0.278995,32.6627,0.289448,8645.07,12.7745,
9.10903,6.291e+08,0.0235618,0.0965327,0.197747,2.45128e+06,491152,2.45128,0.491152,35.172,0.677667,10645.1,40.0563,
10.122,6.291e+08,0.0235618,0.120424,0.307744,2.38255e+06,757273,2.38255,0.757273,37.6259,1.30859,12791.9,97.048,
11.123,6.291e+08,0.0235618,0.143986,0.439949,2.26193e+06,1.06473e+06,2.26193,1.06473,39.9523,2.21901,15041.3,197.46,
12.137,6.291e+08,0.0235618,0.167901,0.598231,2.06583e+06,1.40795e+06,2.06583,1.40795,42.1541,3.47502,17463.2,363.07,
13.143,6.291e+08,0.0235618,0.191604,0.779061,1.77893e+06,1.75653e+06,1.77893,1.75653,44.0939,5.07044,19923,605.212,
14.1571,6.291e+08,0.0235618,0.215495,0.98546,1.3812e+06,2.08382e+06,1.3812,2.08382,45.7023,7.024,22573.1,959.311,
15.1741,6.291e+08,0.0235618,0.239434,1.21657,867172,2.34478e+06,0.867172,2.34478,46.8497,9.2837,25305.4,1437.94,
16.1881,6.291e+08,0.0235618,0.263349,1.47173,247261,2.48774e+06,0.247261,2.48774,47.418,11.7497,28089.2,2056.68,
17.1981,6.291e+08,0.0235618,0.287146,1.74973,-444956,2.46008e+06,-0.444956,2.46008,47.3167,14.2645,30887.3,2823.07,
18.2141,6.291e+08,0.0235618,0.311084,2.05363,-1.16074e+06,2.2142e+06,-1.16074,2.2142,46.4933,16.657,33658.7,3735.4,
19.2181,6.291e+08,0.0235618,0.33474,2.37784,-1.80561e+06,1.7291e+06,-1.80561,1.7291,44.9894,18.6529,36315.6,4760.75,
20.2231,6.291e+08,0.0235618,0.35842,2.72615,-2.28734e+06,1.00899e+06,-2.28734,1.00899,42.9103,20.0407,38868,5885.68,
21.2301,6.291e+08,0.0235618,0.382123,3.09864,-2.49769e+06,107353,-2.49769,0.107353,40.4745,20.6058,41288.4,7068.54,
22.2331,6.291e+08,0.0235618,0.405779,3.49416,-2.34622e+06,-863277,-2.34622,-0.863277,38.0112,20.2178,43564.8,8257.3,
23.2381,6.291e+08,0.0235618,0.429458,3.91387,-1.79081e+06,-1.74442e+06,-1.79081,-1.74442,35.9035,18.8844,45706.8,9396.28,
24.2541,6.291e+08,0.0235618,0.453396,4.36235,-857325,-2.3484e+06,-0.857325,-2.3484,34.5389,16.7673,47780.7,10451.9,
25.2701,6.291e+08,0.0235618,0.477335,4.83517,306171,-2.48118e+06,0.306171,-2.48118,34.2586,14.2666,49804.5,11369.1,
26.2771,6.291e+08,0.0235618,0.501062,5.32778,1.4432e+06,-2.04136e+06,1.4432,-2.04136,35.1629,11.9443,51811.7,12128.1,
27.2821,6.291e+08,0.0235618,0.52474,5.84325,2.26194e+06,-1.06471e+06,2.26194,-1.06471,37.0709,10.3527,53901.4,12770.8,
28.2951,6.291e+08,0.0235618,0.548608,6.38689,2.48657e+06,258802,2.48657,0.258802,39.5382,9.94053,56159.2,13363.1,
29.3061,6.291e+08,0.0235618,0.572405,6.953,1.95984e+06,1.5521e+06,1.95984,1.5521,41.8428,10.8869,58520,13959.9,
